"Item","Questions","Answer","a","b","c","d","e","Type"
"1","46 + 141 = ?","187","187","175","171","199","183","radio"
"2","70 + 160 = ?","230","230","221","236","242","224","radio"
"3","49 + 147 = ?","196","196","190","208","199","187","radio"
"4","42 + 148 = ?","190","196","193","178","175","190","radio"
"5","27 + 153 = ?","180","183","195","174","180","168","radio"
"6","87 + 196 = ?","283","283","275","279","303","287","radio"
"7","19 + 164 = ?","183","173","179","189","185","183","radio"
"8","77 + 191 = ?","268","288","256","268","276","264","radio"
"9","36 + 191 = ?","227","231","227","235","247","239","radio"
"10","86 + 140 = ?","226","220","226","229","232","238","radio"
"11","42 + 118 = ?","160","175","160","154","166","157","radio"
"12","15 + 150 = ?","165","162","168","165","159","150","radio"
"13","24 + 194 = ?","218","222","224","218","228","214","radio"
"14","47 + 149 = ?","196","184","188","212","196","208","radio"
"15","13 + 180 = ?","193","178","193","187","196","205","radio"
"16","71 + 166 = ?","237","237","241","225","245","221","radio"
"17","39 + 116 = ?","155","161","153","149","147","155","radio"
"18","57 + 160 = ?","217","217","225","237","233","213","radio"
"19","13 + 174 = ?","187","199","179","207","187","171","radio"
"20","29 + 123 = ?","152","161","137","152","167","146","radio"
"21","70 + 195 = ?","265","262","277","256","250","265","radio"
"22","73 + 197 = ?","270","270","273","264","276","258","radio"
"23","85 + 122 = ?","207","207","182","232","187","217","radio"
"24","85 + 175 = ?","260","280","268","276","260","252","radio"
"25","75 + 132 = ?","207","212","217","187","232","207","radio"
"26","71 + 165 = ?","236","236","239","224","251","230","radio"
"27","88 + 140 = ?","228","243","216","228","231","222","radio"
"28","79 + 128 = ?","207","207","211","209","215","213","radio"
"29","91 + 108 = ?","199","190","214","205","196","199","radio"
"30","3 + 131 = ?","134","138","114","134","142","122","radio"
"31","99 + 107 = ?","206","202","222","198","186","206","radio"
"32","55 + 140 = ?","195","203","215","191","195","211","radio"
"33","77 + 107 = ?","184","184","192","182","178","186","radio"
"34","64 + 195 = ?","259","259","255","239","267","275","radio"
"35","71 + 136 = ?","207","207","217","203","197","201","radio"
"36","5 + 102 = ?","107","122","110","113","95","107","radio"
"37","85 + 142 = ?","227","224","230","236","227","233","radio"
"38","38 + 191 = ?","229","226","224","229","234","231","radio"
"39","17 + 122 = ?","139","143","123","119","151","139","radio"
"40","32 + 132 = ?","164","161","164","170","173","149","radio"
"41","55 + 140 = ?","195","180","201","195","192","186","radio"
"42","86 + 111 = ?","197","202","172","197","222","177","radio"
"43","42 + 141 = ?","183","179","183","175","187","163","radio"
"44","13 + 115 = ?","128","128","113","116","143","134","radio"
"45","32 + 124 = ?","156","136","152","156","172","168","radio"
"46","17 + 114 = ?","131","151","119","131","111","115","radio"
"47","97 + 194 = ?","291","266","301","291","276","306","radio"
"48","8 + 183 = ?","191","195","191","187","175","207","radio"
"49","27 + 151 = ?","178","182","174","178","198","162","radio"
"50","12 + 165 = ?","177","177","165","157","173","189","radio"
"51","66 + 180 = ?","246","231","246","261","237","240","radio"
"52","7 + 183 = ?","190","184","181","205","196","190","radio"
"53","42 + 167 = ?","209","189","229","209","224","234","radio"
"54","27 + 125 = ?","152","152","154","160","162","146","radio"
"55","6 + 175 = ?","181","172","181","169","187","196","radio"
"56","98 + 124 = ?","222","242","232","197","222","237","radio"
"57","35 + 155 = ?","190","187","199","193","202","190","radio"
"58","23 + 137 = ?","160","164","160","150","170","158","radio"
"59","17 + 131 = ?","148","150","146","158","138","148","radio"
"60","35 + 164 = ?","199","211","193","214","199","190","radio"
